# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\gally\Desktop\445\ECE445\FPGA\Lab5_2.csv
# Generated on: Fri Feb 17 00:35:07 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Clk,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
Continue,Input,PIN_B8,7,B7_N0,PIN_B8,3.3-V LVTTL,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C17,3.3-V LVTTL,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_D17,3.3-V LVTTL,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_E16,3.3-V LVTTL,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_C16,3.3-V LVTTL,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_C15,3.3-V LVTTL,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E15,3.3-V LVTTL,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_C14,3.3-V LVTTL,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_B17,3.3-V LVTTL,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_A18,3.3-V LVTTL,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_A17,3.3-V LVTTL,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_B16,3.3-V LVTTL,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,3.3-V LVTTL,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,3.3-V LVTTL,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,3.3-V LVTTL,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,3.3-V LVTTL,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,3.3-V LVTTL,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,3.3-V LVTTL,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,3.3-V LVTTL,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,3.3-V LVTTL,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,3.3-V LVTTL,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,3.3-V LVTTL,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_E17,3.3-V LVTTL,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_D19,3.3-V LVTTL,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_C20,3.3-V LVTTL,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_C19,3.3-V LVTTL,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_E21,3.3-V LVTTL,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_E22,3.3-V LVTTL,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_F21,3.3-V LVTTL,,,,,
HEX5[6],Output,PIN_N20,6,B6_N0,PIN_N20,3.3-V LVTTL,,,,,
HEX5[5],Output,PIN_N19,6,B6_N0,PIN_N19,3.3-V LVTTL,,,,,
HEX5[4],Output,PIN_M20,6,B6_N0,PIN_M20,3.3-V LVTTL,,,,,
HEX5[3],Output,PIN_N18,6,B6_N0,PIN_N18,3.3-V LVTTL,,,,,
HEX5[2],Output,PIN_L18,6,B6_N0,PIN_L18,3.3-V LVTTL,,,,,
HEX5[1],Output,PIN_K20,6,B6_N0,PIN_K20,3.3-V LVTTL,,,,,
HEX5[0],Output,PIN_J20,6,B6_N0,PIN_J20,3.3-V LVTTL,,,,,
Hex4[6],Output,PIN_F20,6,B6_N0,PIN_F20,3.3-V LVTTL,,,,,
Hex4[5],Output,PIN_F19,6,B6_N0,PIN_F19,3.3-V LVTTL,,,,,
Hex4[4],Output,PIN_H19,6,B6_N0,PIN_H19,3.3-V LVTTL,,,,,
Hex4[3],Output,PIN_J18,6,B6_N0,PIN_J18,3.3-V LVTTL,,,,,
Hex4[2],Output,PIN_E19,6,B6_N0,PIN_E19,3.3-V LVTTL,,,,,
Hex4[1],Output,PIN_E20,6,B6_N0,PIN_E20,3.3-V LVTTL,,,,,
Hex4[0],Output,PIN_F18,6,B6_N0,PIN_F18,3.3-V LVTTL,,,,,
IR[15],Output,,,,PIN_M18,3.3-V LVTTL,,,,,
IR[14],Output,,,,PIN_C9,3.3-V LVTTL,,,,,
IR[13],Output,,,,PIN_W10,3.3-V LVTTL,,,,,
IR[12],Output,,,,PIN_D21,3.3-V LVTTL,,,,,
IR[11],Output,,,,PIN_J8,3.3-V LVTTL,,,,,
IR[10],Output,,,,PIN_R22,3.3-V LVTTL,,,,,
IR[9],Output,,,,PIN_H13,3.3-V LVTTL,,,,,
IR[8],Output,,,,PIN_H12,3.3-V LVTTL,,,,,
IR[7],Output,,,,PIN_E12,3.3-V LVTTL,,,,,
IR[6],Output,,,,PIN_F17,3.3-V LVTTL,,,,,
IR[5],Output,,,,PIN_A19,3.3-V LVTTL,,,,,
IR[4],Output,,,,PIN_H14,3.3-V LVTTL,,,,,
IR[3],Output,,,,PIN_D9,3.3-V LVTTL,,,,,
IR[2],Output,,,,PIN_E13,3.3-V LVTTL,,,,,
IR[1],Output,,,,PIN_J11,3.3-V LVTTL,,,,,
IR[0],Output,,,,PIN_J13,3.3-V LVTTL,,,,,
LED[9],Output,PIN_B11,7,B7_N0,PIN_B11,3.3-V LVTTL,,,,,
LED[8],Output,PIN_A11,7,B7_N0,PIN_A11,3.3-V LVTTL,,,,,
LED[7],Output,PIN_D14,7,B7_N0,PIN_D14,3.3-V LVTTL,,,,,
LED[6],Output,PIN_E14,7,B7_N0,PIN_E14,3.3-V LVTTL,,,,,
LED[5],Output,PIN_C13,7,B7_N0,PIN_C13,3.3-V LVTTL,,,,,
LED[4],Output,PIN_D13,7,B7_N0,PIN_D13,3.3-V LVTTL,,,,,
LED[3],Output,PIN_B10,7,B7_N0,PIN_B10,3.3-V LVTTL,,,,,
LED[2],Output,PIN_A10,7,B7_N0,PIN_A10,3.3-V LVTTL,,,,,
LED[1],Output,PIN_A9,7,B7_N0,PIN_A9,3.3-V LVTTL,,,,,
